instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
BSE_FO|885420,885420,BANKEX26MAY52300CE,BANKEX,0.0,2026-05-27,52300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885759,885759,BANKEX26MAY52300PE,BANKEX,0.0,2026-05-27,52300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886883,886883,BANKEX26MAY52400CE,BANKEX,0.0,2026-05-27,52400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885379,885379,BANKEX26MAY52400PE,BANKEX,0.0,2026-05-27,52400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|884327,884327,BANKEX26MAY52500CE,BANKEX,0.0,2026-05-27,52500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|884538,884538,BANKEX26MAY52500PE,BANKEX,0.0,2026-05-27,52500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|884118,884118,BANKEX26MAY52600CE,BANKEX,0.0,2026-05-27,52600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|884299,884299,BANKEX26MAY52600PE,BANKEX,0.0,2026-05-27,52600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|884384,884384,BANKEX26MAY52700CE,BANKEX,0.0,2026-05-27,52700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885062,885062,BANKEX26MAY52700PE,BANKEX,0.0,2026-05-27,52700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|884170,884170,BANKEX26MAY52800CE,BANKEX,0.0,2026-05-27,52800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|884350,884350,BANKEX26MAY52800PE,BANKEX,0.0,2026-05-27,52800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|884910,884910,BANKEX26MAY52900CE,BANKEX,0.0,2026-05-27,52900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|884139,884139,BANKEX26MAY52900PE,BANKEX,0.0,2026-05-27,52900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|884477,884477,BANKEX26MAY53000CE,BANKEX,0.0,2026-05-27,53000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|884702,884702,BANKEX26MAY53000PE,BANKEX,33.95,2026-05-27,53000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|884801,884801,BANKEX26MAY53100CE,BANKEX,0.0,2026-05-27,53100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885024,885024,BANKEX26MAY53100PE,BANKEX,0.0,2026-05-27,53100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|883758,883758,BANKEX26MAY53200CE,BANKEX,0.0,2026-05-27,53200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883897,883897,BANKEX26MAY53200PE,BANKEX,0.0,2026-05-27,53200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|883961,883961,BANKEX26MAY53300CE,BANKEX,0.0,2026-05-27,53300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|883481,883481,BANKEX26MAY53300PE,BANKEX,0.0,2026-05-27,53300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|882631,882631,BANKEX26MAY53400CE,BANKEX,0.0,2026-05-27,53400.0,0.05,30.0,OPTIDX,CE,BSE_FO
